reviews.text,reviews.rating,sentiment,cleared_text
Been trying to find a red wine with a smooth finish. This stuff is exactly what I was looking for.,5.0,positive,trying find red wine smooth finish stuff exactly looking
Perfect sipping tequila ... chilled and neat !,5.0,positive,perfect sipping tequila chilled neat
Perfect sipping tequila ... chilled and neat !,5.0,positive,perfect sipping tequila chilled neat
"My buddy ordered some shots of this stuff during a horns game. Frankly when it comes to tequila, I usually brace myself for a rough shot. Maybe I'm drinking the wrong stuff, because this was really easy to put back. No lingering aftertaste. Reasonably priced. Good value tequila if you're looking.",5.0,positive,buddy ordered shot stuff horn game frankly come tequila usually brace rough shot maybe im drinking wrong stuff really easy put back lingering aftertaste reasonably priced good value tequila youre looking
Straight over ice.,5.0,positive,straight ice
My drink of choice when I really want to enjoy my time alone.,5.0,positive,drink choice really want enjoy time alone
"Makes orange jello taste like creamsicle, strawberry taste like strawberries and cream, lemon taste like lemon meringue....I could go on and on....get some today!!",5.0,positive,make orange jello taste like creamsicle strawberry taste like strawberry cream lemon taste like lemon meringuei could go onget today
"Pinnacle has been making our Martini's in my family for many years. My late father discovered it years ago when someone said it's on par with that vodka that flys south for the winter, but at a very reasonable price. Try it, bet you'll love it too. Al",5.0,positive,pinnacle making martini family many year late father discovered year ago someone said par vodka fly south winter reasonable price try bet youll love al
The whipped creme flavored vodka is fabulous. I keep it in the freezer and have a snifter of it when I want something smooth after dinner or as a night cap. Love it!,5.0,positive,whipped creme flavored vodka fabulous keep freezer snifter want something smooth dinner night cap love
"Everything is great about this product, cheap price, perfect taste. Mixing this flavor with just a soda makes it delicious.",5.0,positive,everything great product cheap price perfect taste mixing flavor soda make delicious
"I love this vodka, I have been drinking vodka for many years, and this is by far one of the best, and my favorite vodka. I drink it regularly, usually with grape juice, but also with orange juice. We use it to make daiquiris, and many other frozen concoctions.",5.0,positive,love vodka drinking vodka many year far one best favorite vodka drink regularly usually grape juice also orange juice use make daiquiri many frozen concoction
Just so so. Seems to be missing something. There are much better margarita mixes out there without all the additives this does not have.,2.0,negative,seems missing something much better margarita mix without additive
Very good summer red. It's become our favorite reasonably priced wine that we enjoy on its own.,4.0,positive,good summer red become favorite reasonably priced wine enjoy
love all of the flavors. will be buying again. great for summer drinks,5.0,positive,love flavor buying great summer drink
"I bought this pack on a whim and I'm so glad I did. There is a variety of drinks for a great price, even less than the discount liquor store! I'll definitely get this again!",4.0,positive,bought pack whim im glad variety drink great price even le discount liquor store ill definitely get
Vrty good,5.0,positive,vrty good
Jamaican me happy,4.0,positive,jamaican happy
Really enjoy these but SAMs likes to send you on wild goose chases saying available and none to be found not even the empty pallet,5.0,positive,really enjoy sam like send wild goose chase saying available none found even empty pallet
We have been buying Apothic Dark for a couple of years now. It is our Red Blend of Choice. Very Smooth and very reasonably priced.,5.0,positive,buying apothic dark couple year red blend choice smooth reasonably priced
Decent table wine for the price. Bend that is on the sweeter side of the spectrum.,3.0,positive,decent table wine price bend sweeter side spectrum
Rum Chata is great when mixed with Fireball or Caramel Vodka,5.0,positive,rum chata great mixed fireball caramel vodka
Love this brand of tequila. I'm a Margarita fan and like to make different kinds,5.0,positive,love brand tequila im margarita fan like make different kind
love it wouldnt mind drinking more,5.0,positive,love wouldnt mind drinking
"On a hot day near the water, this is the cheap-ish beer to have. Bud light with a solid splash of lime, makes it a light and refreshing choice. The Target 12-pack is average-priced and will provide a beverage most will enjoy - particularly the ladies.",4.0,positive,hot day near water cheapish beer bud light solid splash lime make light refreshing choice target pack averagepriced provide beverage enjoy particularly lady
"Love this vodka - it's perfect for screwdrivers! It blends so well with the juice and for an interesting citrus blend, you can use grapefruit juice.",5.0,positive,love vodka perfect screwdriver blend well juice interesting citrus blend use grapefruit juice
We've been drinking this wine for a while. It's one of a group we buy regularly because it's a good wine at an affordable price.,5.0,positive,weve drinking wine one group buy regularly good wine affordable price
"Never disappointed, constant taste.",4.0,positive,never disappointed constant taste
"A delicious blended wine ... give it a try, you might be surprised",5.0,positive,delicious blended wine give try might surprised
This is by far the best reisling I've ever had! LOVE it! Always consistent in flavor and my go to!,5.0,positive,far best reisling ive ever love always consistent flavor go
Great Taste don't forget a slice of orage on the side!,5.0,positive,great taste dont forget slice orage side
Very fruity. Smooth. I like it straight over ice with a bit of Chambord.,5.0,positive,fruity smooth like straight ice bit chambord
"This is my favorite Riesling. When I spotted it on sale for 9.99 a bottle I was delighted. I usually pay around 12.99 at other locations. Buying two bottles saved me six dollars, Thanks Target.",5.0,positive,favorite riesling spotted sale bottle delighted usually pay around location buying two bottle saved six dollar thanks target
"Refreshing taste of beer especially for summer, citrus combined w/ blueberry.",5.0,positive,refreshing taste beer especially summer citrus combined w blueberry
"Right on Target - Sierra Nevada Torpedo Ale has outstanding character, warm, subtle hints of fruit and a strong but not overly bitter hop aftertaste. It is excellent after a hard day's work to kick back and relax. Target recently began carrying beer and I could not be more enthused! ...",5.0,positive,right target sierra nevada torpedo ale outstanding character warm subtle hint fruit strong overly bitter hop aftertaste excellent hard day work kick back relax target recently began carrying beer could enthused
Best beer for the money. Wish the club in Omaha would carry it again. Any idea if any club carries it,5.0,positive,best beer money wish club omaha would carry idea club carry
Battle ground walmart is to high priced to surrounding stores,5.0,positive,battle ground walmart high priced surrounding store
Any alcohol beverage,5.0,positive,alcohol beverage
"I have been enjoying Jim Beam Original for many years. I started mixing JB-O with Slice while wife and I watched Dallas. I have tried other whiskeys, but keep coming back to JB. Now I enjoy it mixed with Diet Pepsi (since I can no longer find Slice).",5.0,positive,enjoying jim beam original many year started mixing jbo slice wife watched dallas tried whiskey keep coming back jb enjoy mixed diet pepsi since longer find slice
My momma LOVES this stuff....!! Its the taste that will rockur socks off!!,5.0,positive,momma love stuff taste rockur sock
It goes great in apple cider,5.0,positive,go great apple cider
A true classic of spirits...,5.0,positive,true classic spirit
The white label or the devil's cut dashed with some lemonade and lime cordial is how I enjoy my Jim.,5.0,positive,white label devil cut dashed lemonade lime cordial enjoy jim
Best Drink you can get,5.0,positive,best drink get
to make manhattens,4.0,positive,make manhattens
Best bourbon I have found...have toured distillery and love the brand..,5.0,positive,best bourbon foundhave toured distillery love brand
Red Stag and Coke Zero is my go to drink. Only wish more bars and restaurants stocked it. Nothing like a good bourbon with a cherry kick !,5.0,positive,red stag coke zero go drink wish bar restaurant stocked nothing like good bourbon cherry kick
I like it with dr.peper to sip and relax,5.0,positive,like drpeper sip relax
Better than the other's,5.0,positive,better others
Drank it for years and always smooth and tasty. Now it is running off the shelves at our liquor store.,5.0,positive,drank year always smooth tasty running shelf liquor store
I keep Jim Beam on hand every day of the week.,5.0,positive,keep jim beam hand every day week
"I typically have this neat or with an ice cube. Its light amber appearance, sweet, woody, mossy nose, and its mild moss, white oak, mellow wintergreen mint, and dried, faintly-candied fruit flavor draws the drinker into an exploration of pin-point distilling execution. Jim Beam Original has a gradual finish, with a ghost of chocolate powder, during the fade out. Highly recommended. RJT",5.0,positive,typically neat ice cube light amber appearance sweet woody mossy nose mild moss white oak mellow wintergreen mint dried faintlycandied fruit flavor draw drinker exploration pinpoint distilling execution jim beam original gradual finish ghost chocolate powder fade highly recommended rjt
It's does have a great toaste to it the only drink I'll drink.,5.0,positive,great toaste drink ill drink
I had a neat 2 finger glass two weeks ago of JB Black label for the first time (I've always drank Jack Daniels) and I loved it! No more Jack for me!,5.0,positive,neat finger glass two week ago jb black label first time ive always drank jack daniel loved jack
Best tasteing and defenetly the smoothest around I love it!,5.0,positive,best tasteing defenetly smoothest around love
I always keep a bottle of Jim Bean in my liquor cabinet. Value for price is incredible and it mixes great.,5.0,positive,always keep bottle jim bean liquor cabinet value price incredible mix great
to make manhattens,4.0,positive,make manhattens
Best bourbon I have found...have toured distillery and love the brand..,5.0,positive,best bourbon foundhave toured distillery love brand
Very good Cabernet Sauvignon for the money. More in line with wines typically in the 20 range.,4.0,positive,good cabernet sauvignon money line wine typically range
This has become our goto wine!! Not terribly expensive - just terribly GOOD!,5.0,positive,become goto wine terribly expensive terribly good
I like a good price-quality deal for Heineken Lager. My fav easy-going beer. I prefer bottled on and I like to drink it from glasses.,5.0,positive,like good pricequality deal heineken lager fav easygoing beer prefer bottled like drink glass
It was very fresh and cheaper than anywhere in the area.,5.0,positive,fresh cheaper anywhere area
"I bought this, best price and great convenience to order online, pick up in store. Great job! Super easy",5.0,positive,bought best price great convenience order online pick store great job super easy
Made our party special. Everyone was pleased with our choice of drinks.,5.0,positive,made party special everyone pleased choice drink
TASTE DRINK,5.0,positive,taste drink
This is by far the best flavored vodka on the market. I drink it with soda water the flavor is crisp. Not sweet or thick at all.,5.0,positive,far best flavored vodka market drink soda water flavor crisp sweet thick
It's really smooth but the taste isn't so good. More on the cough syrup side than black cherry and vanilla. It was a waste of money. The green apple and blood orange are the best ones .,1.0,negative,really smooth taste isnt good cough syrup side black cherry vanilla waste money green apple blood orange best one
It's really smooth but the taste isn't so good. More on the cough syrup side than black cherry and vanilla. It was a waste of money. The green apple and blood orange are the best ones .,1.0,negative,really smooth taste isnt good cough syrup side black cherry vanilla waste money green apple blood orange best one
